run,relative_s,error_m
max/run01,50.48370118141156,0.7984373333498422
max/run01,50.58370118141156,0.8025529727798183
max/run01,50.683701181411564,0.8041863358004151
max/run01,50.78370118141156,0.7984839203358598
max/run01,50.88370118141156,0.7897867528446961
max/run01,50.98370118141156,0.7857885479467092
max/run01,51.083701181411556,0.8107291601333049
max/run01,51.18370118141156,0.8110441570855885
max/run01,51.28370118141156,0.8230354836525684
max/run01,51.38370118141156,0.8198751441885076
max/run01,51.68370118141156,0.8475510386098621
max/run01,51.78370118141156,0.8504817663063745
max/run01,51.88370118141155,0.8014401428888213
max/run01,51.983701181411554,0.8353280714584407
max/run01,52.083701181411556,0.8229842901334358
max/run01,52.18370118141156,0.8446997973191207
max/run01,52.28370118141156,0.852040759466818
max/run01,52.38370118141155,0.8462647611197756
max/run01,52.483701181411554,0.816336486639924
max/run01,52.583701181411556,0.8577782815803284
max/run01,52.68370118141155,0.8316676526075686
max/run01,52.78370118141155,0.8083110050223762
max/run01,52.88370118141155,0.8521538222755112
max/run01,52.983701181411554,0.8334822669892867
max/run01,53.083701181411556,0.80847314522259
max/run01,53.18370118141155,0.8495439202406033
max/run01,53.28370118141155,0.8193576540142564
max/run01,53.38370118141155,0.7760739732761012
max/run01,53.48370118141155,0.7820053874778595
max/run01,53.58370118141155,0.7717479475118565
max/run01,53.68370118141155,0.8007265059508434
max/run01,53.78370118141155,0.8044491369705387
max/run01,53.88370118141155,0.7869916344515757
max/run01,53.98370118141155,0.8040052397241045
max/run01,54.08370118141155,0.7691177978292841
max/run01,54.48370118141155,0.611984275917457
max/run01,54.58370118141155,0.6551880899429535
max/run01,54.68370118141155,0.6818629503981399
max/run01,54.98370118141155,0.6251847491599063
max/run01,55.08370118141154,0.6027853176358636
max/run01,55.18370118141154,0.6289724026576762
max/run01,55.283701181411544,0.7001915914036018
max/run01,55.383701181411546,0.7576098497545867
max/run01,55.48370118141155,0.7354569304618456
max/run01,55.58370118141154,0.7235641837151243
max/run01,55.88370118141154,0.7093321533620162
max/run01,55.98370118141154,0.7155724037745566
max/run01,56.08370118141154,0.7105434332977514
max/run01,56.18370118141154,0.7433938132528725
max/run01,56.283701181411544,0.7466885433837641
max/run01,56.38370118141154,0.7399015379385101
max/run01,56.48370118141154,0.7331579631038578
max/run01,56.58370118141154,0.7175486169424522
max/run01,56.683701181411536,0.6704119654220457
max/run01,56.78370118141154,0.6705606827868692
max/run01,56.88370118141154,0.6779066385558539
max/run01,57.183701181411536,0.6620664883642255
max/run01,57.28370118141154,0.6466157245124832
max/run01,57.38370118141154,0.6475095223736567
max/run01,57.48370118141153,0.6511830978925389
max/run01,57.583701181411534,0.6295775294549161
max/run01,57.683701181411536,0.6417871007990487
max/run01,57.78370118141154,0.6478937433402076
max/run01,57.88370118141154,0.6475712227646693
max/run01,57.98370118141153,0.6633937761795452
max/run01,58.083701181411534,0.6482846001541732
max/run01,58.183701181411536,0.6300880715399696
max/run01,58.28370118141153,0.6385588915369573
max/run01,58.38370118141153,0.6356671945997192
max/run01,58.48370118141153,0.6201265641516749
max/run01,58.583701181411534,0.6335881155444744
max/run01,58.683701181411536,0.6321783627546267
max/run01,58.98370118141153,0.6169572199929254
max/run01,59.08370118141153,0.5993941236070371
max/run01,59.183701181411536,0.6260738493331222
max/run01,59.28370118141153,0.6089927574244101
max/run01,59.38370118141154,0.5915617642182249
max/run01,59.683701181411536,0.6214715720902865
max/run01,59.78370118141153,0.6022631725560996
max/run01,59.883701181411524,0.6130449371175152
max/run01,59.98370118141153,0.6089626823819306
max/run01,60.08370118141153,0.6041276563574435
max/run01,60.383701181411524,0.6261500639049992
max/run01,60.48370118141153,0.6258805560796237
max/run01,60.58370118141153,0.6212118082830357
max/run01,60.883701181411524,0.6392928795920608
max/run01,60.98370118141153,0.6252522368418324
max/run01,61.08370118141153,0.6437399557455413
max/run01,61.18370118141152,0.6444218378178742
max/run01,61.28370118141153,0.6349817351836635
max/run01,61.383701181411524,0.647014622167265
max/run01,61.48370118141152,0.6388069519156405
max/run01,61.58370118141153,0.6162561300953999
max/run01,61.68370118141152,0.6316579219065349
max/run01,61.78370118141153,0.6364889151974723
max/run01,61.883701181411524,0.6486651545344356
max/run01,61.98370118141152,0.6494191349919423
max/run01,62.08370118141153,0.6393341347783826
max/run01,62.18370118141152,0.6189500966751108
max/run01,62.283701181411516,0.6372205420852116
max/run01,62.383701181411524,0.6390672856839489
max/run01,62.48370118141152,0.6214140592830972
max/run01,62.58370118141153,0.6338413801427075
max/run01,62.68370118141152,0.628574876836975
max/run01,62.783701181411516,0.6078710335504677
max/run01,62.883701181411524,0.6314942588021822
max/run01,62.98370118141152,0.6197341204355158
max/run01,63.08370118141151,0.6243102714938433
max/run01,63.58370118141151,0.5979260694243003
max/run01,63.68370118141152,0.6063510134479356
max/run01,63.783701181411516,0.6018200222251172
max/run01,63.88370118141151,0.593757600078055
max/run01,63.98370118141152,0.5998939317411982
